algorithm,sent,transmitted,received,avg_time
dsdv,3000,198648,3000,4065.925333333333
dsdv,3000,204658,3000,2573.4726666666666
dsdv,3000,290008,2993,6057.894420314066
dsdv,3000,344329,3000,4678.214
dsdv,3000,181487,3000,2647.424666666667
dsdv,3000,193179,3000,1698.4596666666666
dsdv,3000,278165,3000,2344.037333333333
dsdv,3000,232264,3000,4860.747
dsdv,3000,370440,3000,6216.701
dsdv,3000,229641,3000,4012.5996666666665
gossip,3000,5304558,3000,2266.126
gossip,3000,6473082,3000,2635.5223333333333
gossip,3000,5659088,3000,2551.9023333333334
gossip,3000,2192029,3000,636.9696666666666
gossip,3000,4589676,3000,2363.306
gossip,3000,7389459,3000,1222.733
gossip,3000,3889315,3000,2864.806666666667
gossip,3000,4058941,3000,2540.8013333333333
gossip,3000,5774024,3000,2198.8803333333335
gossip,3000,6978395,3000,2616.6183333333333
gossip,300,826269,300,2280.536666666667
gossip,300,629650,300,2620.1833333333334
gossip,300,604682,300,2291.536666666667
gossip,300,369219,300,942.66
gossip,300,774220,300,6239.22
gossip,300,286627,300,902.8466666666667
gossip,300,330723,300,1583.5233333333333
gossip,300,629237,300,1251.81
gossip,300,415563,300,1359.3833333333334
gossip,300,662879,300,3746.116666666667
gossip,300,368001,300,1460.15
gossip,300,776257,300,4268.85
gossip,300,478304,300,1281.2066666666667
gossip,300,909857,300,4200.386666666666
gossip,300,542547,300,1756.1266666666668
gossip,300,912490,300,4650.636666666666
gossip,300,493774,300,1642.6566666666668
gossip,300,798715,300,2469.423333333333
gossip,300,322699,300,1315.3766666666668
gossip,300,872288,300,1768.85
gossip,300,937939,300,2763.0866666666666
gossip,300,489490,300,1889.75
gossip,300,1613759,300,5680.82
gossip,300,632609,300,2219.3233333333333
gossip,300,595962,300,2708.1666666666665
gossip,300,544066,300,1727.0266666666666
gossip,300,988434,300,2955.01
gossip,300,655100,300,4175.35
gossip,300,579122,300,1951.42
gossip,300,955005,300,3695.8333333333335
gossip,300,1069116,300,3594.403333333333
gossip,300,468366,300,2324.46
gossip,300,642718,300,2148.0733333333333
gossip,300,1639545,300,6291.393333333333
gossip,300,564193,300,2244.463333333333
gossip,300,841559,300,3396.2633333333333
gossip,300,653150,300,2704.2433333333333
gossip,300,354554,300,545.78
gossip,300,435477,300,1210.9833333333333
gossip,300,815682,300,2594.4533333333334
gossip,300,766328,300,3153.0533333333333
gossip,300,371975,300,1706.4766666666667
gossip,300,461728,300,1750.8433333333332
gossip,300,690416,300,2904.1133333333332
gossip,300,358902,300,1219.18
gossip,300,455954,300,1565.9666666666667
gossip,300,652562,300,2490.096666666667
gossip,300,813180,300,2550.2966666666666
gossip,300,717140,300,3635.11
gossip,300,468074,300,1862.6
gossip,300,267956,300,1015.54
gossip,300,651643,300,3189.346666666667
gossip,300,517821,300,2234.9566666666665
gossip,300,332355,300,1162.3633333333332
gossip,300,676305,300,2358.3866666666668
gossip,300,499044,300,1386.0566666666666
gossip,300,402977,300,1559.98
gossip,300,376642,300,1620.8033333333333
gossip,300,661207,300,2002.6233333333332
gossip,300,879623,300,3330.05
gossip,300,420811,300,1293.38
gossip,300,538892,300,1234.7333333333333
gossip,300,595837,300,1538.32
gossip,300,634697,300,3436.1766666666667
gossip,300,143847,300,175.44333333333333
gossip,300,1856342,300,5811.826666666667
gossip,300,833857,300,3134.77
gossip,300,471224,300,1700.9533333333334
gossip,300,1223165,300,4047.31
gossip,300,834732,300,3096.68
gossip,300,546315,300,1296.9866666666667
gossip,300,635665,300,1448.2
gossip,300,287633,300,408.2366666666667
gossip,300,364595,300,2418.6133333333332
gossip,300,573787,300,2340.57
gossip,300,763765,300,2551.63
gossip,300,543000,300,2631.54
gossip,300,603129,300,1948.0033333333333
gossip,300,541099,300,1907.4066666666668
gossip,300,679080,300,2840.3566666666666
gossip,300,228422,300,655.7333333333333
gossip,300,426415,300,1132.8466666666666
gossip,300,622263,300,2823.6233333333334
gossip,300,452931,300,764.3166666666667
gossip,300,1087357,300,3922.42
gossip,300,414591,300,1265.47
gossip,300,632203,300,3001.42
gossip,300,512723,300,1940.8633333333332
gossip,300,293491,300,795.0733333333334
gossip,300,293069,300,722.8366666666667
gossip,300,721945,300,2760.8433333333332
gossip,300,364229,300,1908.8866666666668
gossip,300,708002,300,3100.68
gossip,300,697690,300,3545.963333333333
gossip,300,961492,300,4394.55
gossip,300,443223,300,1692.75
gossip,300,549014,300,2069.6033333333335
gossip,300,808372,300,2986.4266666666667
gossip,300,494178,300,2159.9566666666665
gossip,300,458143,300,1615.9933333333333
gossip,900,3181410,900,3569.79
gossip,900,1689020,900,4238.547777777778
gossip,900,2444768,900,3826.6055555555554
gossip,900,1551481,900,1731.1355555555556
gossip,900,941248,900,769.9311111111111
gossip,900,2537037,900,3498.088888888889
gossip,900,1235720,900,410.81111111111113
gossip,900,2987470,900,2572.7344444444443
gossip,900,2549769,900,2806.9755555555557
gossip,900,2563344,900,3388.948888888889
gossip,900,694790,900,946.4777777777778
gossip,900,1584507,900,1563.7455555555555
gossip,900,1506489,900,1405.08
gossip,900,1765115,900,1377.2711111111112
gossip,900,1304892,900,1757
gossip,900,1216233,900,1268.9333333333334
gossip,900,1422106,900,2064.032222222222
gossip,900,2299231,900,2814.928888888889
gossip,900,2942461,900,4380.424444444445
gossip,900,1770855,900,1764.05
gossip,900,4001586,900,2459.8688888888887
gossip,900,1026694,900,1899.8944444444444
gossip,900,3398790,900,3482.286666666667
gossip,900,1212929,900,1537.1866666666667
gossip,900,1614983,900,1731.881111111111
gossip,900,873477,900,734.2855555555556
gossip,900,1960845,900,1876.1377777777777
gossip,900,2757795,900,3392.2555555555555
gossip,900,2865841,900,2977.7477777777776
